Date,LSTM_Price,BiLSTM_Price,Averaged_LSTM_BiLSTM_Price
2025-04-01,81310.836,81310.836,81310.836
2025-04-02,80450.58,80450.58,80450.58
2025-04-03,79631.164,79631.164,79631.164
2025-04-04,78826.96,78826.96,78826.96
2025-04-05,78020.664,78020.664,78020.664
2025-04-06,77205.72,77205.72,77205.72
2025-04-07,76404.56,76404.56,76404.56
2025-04-08,75593.12,75593.12,75593.12
2025-04-09,74774.17,74774.17,74774.17
2025-04-10,73956.555,73956.555,73956.555
2025-04-11,73144.79,73144.79,73144.79
2025-04-12,72331.09,72331.09,72331.09
2025-04-13,71517.33,71517.33,71517.33
2025-04-14,70704.17,70704.17,70704.17
2025-04-15,69892.05,69892.05,69892.05
2025-04-16,69081.22,69081.22,69081.22
2025-04-17,68271.31,68271.31,68271.31
2025-04-18,67462.48,67462.48,67462.48
2025-04-19,66655.19,66655.19,66655.19
2025-04-20,65849.56,65849.56,65849.56
2025-04-21,65045.754,65045.754,65045.754
2025-04-22,64244.12,64244.12,64244.12
2025-04-23,63444.95,63444.95,63444.95
2025-04-24,62648.508,62648.508,62648.508
2025-04-25,61855.082,61855.082,61855.082
2025-04-26,61064.926,61064.926,61064.926
2025-04-27,60278.254,60278.254,60278.254
2025-04-28,59494.824,59494.824,59494.824
2025-04-29,58715.195,58715.195,58715.195
2025-04-30,57939.6,57939.6,57939.6
